,date,sec_name,i_weight,PCT_CHG_PER,INDUSTRY_CSRC12,FA_ROICEBIT_TTM,FA_OCFTOOR_TTM,FA_DEBTTOASSET,FA_NPGR_TTM,FA_ORGR_TTM,TECH_PRICE1Y,PE_TTM,VAL_MVTOEBITDA_TTM,PB_LF,BETA_24M,ANNUALSTDEVR_24M
600862.SH,2018/8/31 0:00,中航高科,0.074,1.830282862,铁路、船舶、航空航天和其他运输设备制造业,2.0354,-4.7273,47.0738,-89.9743,-25.5205,-0.27903306,-2005.569702,32.4671,2.361619473,1.32099998,29.50860405
000061.SZ,2018/8/31 0:00,农产品,0.106,0,商务服务业,3.7078,37.6914,65.8849,-47.0633,13.3644,-0.22980304,-632.4779663,9.8723,1.862827063,1.219200015,22.65453148
300002.SZ,2018/8/31 0:00,神州泰岳,0.16,-2.512562814,软件和信息技术服务业,0.1636,17.3922,22.4331,-121.0847,-45.2768,-0.33955186,-239.8963928,70.4644,1.520229578,0.8653,29.11438751
002342.SZ,2018/8/31 0:00,巨力索具,0.071,1.729106628,金属制品业,0.8461,7.7052,39.7823,-208.9808,6.9257,-0.35907678,-140.2580109,22.3787,1.405822158,0.650699973,47.84547806
000806.SZ,2018/8/31 0:00,银河生物,0.067,2.762430939,电气机械及器材制造业,0.2905,0.9336,35.8406,-17.2017,-28.9181,-0.33095039,-139.3133392,76.6258,2.002750397,0.83920002,39.63209534
002512.SZ,2018/8/31 0:00,达华智能,0.193,0,计算机、通信和其他电子设备制造业,1.0164,6.9055,60.4991,-149.5752,6.3912,,-130.9122314,52.2554,3.984838724,1.192800045,36.3844986
603169.SH,2018/8/31 0:00,兰石重装,0.064,2.43902439,专用设备制造业,1.3001,-36.1546,71.7862,-496.0113,36.5412,-0.30333678,-103.155899,21.3533,1.641245365,0.9278,36.59892654
002261.SZ,2018/8/31 0:00,拓维信息,0.087,3.899082569,软件和信息技术服务业,-1.6762,-2.8731,11.3591,-123.6311,-3.0447,-0.31129214,-101.1679611,256.4319,1.29081738,0.302300006,25.26057625
000612.SZ,2018/8/31 0:00,焦作万方,0.135,-1.077586207,有色金属冶炼及压延加工,-0.1979,13.3853,39.4855,-160.7394,21.1639,-0.37200645,-78.07579803,25.5192,1.214172125,0.535399973,36.30620956
600759.SH,2018/8/31 0:00,洲际油气,0.163,0,石油和天然气开采业,8.1202,35.0187,63.7868,947.705,66.681,,-73.62387085,6.1288,1.715286374,-0.280800015,28.64500237
600058.SH,2018/8/31 0:00,五矿发展,0.098,2.231520223,批发业,1.9919,-2.6271,65.6921,-69.3224,9.8882,-0.30169194,-58.74921036,20.4805,1.074349642,1.309399962,26.70129585
601969.SH,2018/8/31 0:00,海南矿业,0.06,0.204081633,黑色金属矿采选业,-2.0994,2.3586,39.501,-30.1877,43.5036,-0.36073369,-50.19223785,-129.2223,2.041917324,1.421200037,31.09689331
000536.SZ,2018/8/31 0:00,华映科技,0.103,-1.976284585,计算机、通信和其他电子设备制造业,-0.6668,24.8675,47.961,-342.7177,9.8669,-0.3557406,-50.07362747,11.9119,0.564046919,0.554700017,22.6427536
600416.SH,2018/8/31 0:00,湘电股份,0.133,1.174743025,通用设备制造业,0.7473,7.6342,70.4124,-275.5562,-27.2476,-0.3022972,-43.62562943,19.4036,1.045018315,0.382400006,36.52202225
002190.SZ,2018/8/31 0:00,成飞集成,0.096,4.029511918,专用设备制造业,-11.8675,-19.2067,45.1511,-495.3069,10.6056,-0.14852066,-39.95519257,-35.3825,3.267076969,1.521199942,28.3983593
002642.SZ,2018/8/31 0:00,荣之联,0.105,-3.376018626,软件和信息技术服务业,-2.6634,-8.7412,30.753,-193.2299,70.3344,-0.30879644,-30.97147179,-473.6966,1.309729934,-0.238000005,39.81707764
002489.SZ,2018/8/31 0:00,浙江永强,0.097,0.341296928,家具制造业,-3.1845,0.4266,50.9073,-362.6754,-1.1806,-0.36292205,-29.70809364,-93.7783,2.01325798,0.5722,23.97400856
300156.SZ,2018/8/31 0:00,神雾环保,0.103,-8.30449827,专用设备制造业,-3.1918,-218.4791,61.752,-125.0963,-79.5681,-0.41755041,-25.69096375,-59.6534,2.046889782,0.168799996,48.54557419
600151.SH,2018/8/31 0:00,航天机电,0.127,0.23364486,计算机、通信和其他电子设备制造业,-1.119,-3.8509,55.9448,-259.9248,29.2489,-0.27722779,-21.57084656,15.5385,1.108366013,0.952700019,31.81292343
300291.SZ,2018/8/31 0:00,华录百纳,0.071,0.871080139,广播、电视、电影和影视录音制作业,-4.1451,38.5597,9.1977,-162.7115,-27.8318,-0.41597413,-21.27811241,-25.9592,0.76999706,1.091899991,28.29928589
002400.SZ,2018/8/31 0:00,省广集团,0.16,-2.572347267,商务服务业,-1.8025,3.3662,45.7475,-127.8948,11.3792,-0.34209384,-21.06451035,-65.3947,1.028491616,0.731599987,27.59884453
002657.SZ,2018/8/31 0:00,中科金财,0.121,-0.836550837,软件和信息技术服务业,-8.6452,-13.4839,31.6214,-262.37,0.5681,-0.24738367,-19.86387634,-26.2458,2.012384892,0.624899983,26.81699562
300134.SZ,2018/8/31 0:00,大富科技,0.134,2.112029385,计算机、通信和其他电子设备制造业,-8.1543,1.3995,22.5654,-3702.8097,-16.7176,-0.16764071,-19.301054,-26.693,1.60895586,0.828499973,42.39090347
600166.SH,2018/8/31 0:00,福田汽车,0.266,1.630434783,汽车制造业,-1.2439,-7.4103,71.9703,-305.0679,0.8949,-0.23729665,-14.00990295,7.2326,0.695313036,1.011000037,19.99063683
000727.SZ,2018/8/31 0:00,华东科技,0.145,-1.142857143,计算机、通信和其他电子设备制造业,-3.8094,12.723,48.0771,-481.4659,26.7351,-0.23956044,-10.87507343,4.8942,0.79742378,0.519900024,15.45266438
600651.SH,2018/8/31 0:00,飞乐音响,0.08,3.225806452,电气机械及器材制造业,-3.2625,-11.7131,78.989,-231.3827,-35.3288,-0.46802278,-8.095499039,-22.3766,1.311847687,2.036900043,44.6415329
002477.SZ,2018/8/31 0:00,雏鹰农牧,0.188,-33.13069909,畜牧业,-1.1923,13.108,73.5063,-193.3469,-2.7346,-0.45146636,-7.465097427,15.7095,1.566774249,0.335200012,20.3342762
000572.SZ,2018/8/31 0:00,海马汽车,0.097,-1.459854015,汽车制造业,-21.7004,-10.4108,38.7845,-2180.0071,-40.4634,-0.32893913,-3.431941032,-3.9503,0.709804773,0.787199974,24.25702477
300032.SZ,2018/8/31 0:00,金龙机电,0.05,1.851851852,电气机械及器材制造业,-23.1988,0.4426,36.8225,-606.1201,14.5844,-0.51245399,-2.81347537,-3.5564,0.861436486,0.40169999,45.90800476
000979.SZ,2018/8/31 0:00,中弘股份,0.165,-3,房地产业,-4.4231,0.6787,83.584,-3877.4763,-79.0391,-0.22382871,-2.104750395,-6.9616,1.285916209,1.640699983,28.34050751
300116.SZ,2018/8/31 0:00,坚瑞沃能,0.06,-7.423580786,电气机械及器材制造业,-29.7439,-7.9146,90.1968,-697.6271,-29.2924,-0.58706928,-0.872220337,-1.0699,2.0977633,1.224300027,48.61416245
600282.SH,2018/8/31 0:00,南钢股份,0.292,-3.908045977,黑色金属冶炼及压延加工,20.9651,7.8829,56.1352,242.7698,39.687,-0.12616152,4.314894676,2.4266,1.352908731,1.414499998,47.22193909
000488.SZ,2018/8/31 0:00,晨鸣纸业,0.27,2.06022187,造纸及纸制品业,9.1557,28.059,72.9465,33.404,21.5119,-0.34131701,4.613850594,1.9596,0.757406712,1.840399981,38.77022552
002110.SZ,2018/8/31 0:00,三钢闽光,0.376,-7.655502392,黑色金属冶炼及压延加工,45.8158,14.4393,35.7125,273.2985,70.0935,-0.05352001,4.621818066,3.2322,1.879867792,0.980199993,50.82703018
000825.SZ,2018/8/31 0:00,太钢不锈,0.399,-2.951388889,黑色金属冶炼及压延加工,13.2355,14.1982,59.9032,346.5288,10.6201,0.05805345,4.740021229,2.7246,1.124200225,1.514000058,40.10806274
600525.SH,2018/8/31 0:00,长园集团,0.294,-4.832713755,计算机、通信和其他电子设备制造业,14.7473,4.9292,58.5526,187.603,20.9294,-0.46653754,5.056827545,3.3788,1.181918144,1.463799953,40.01487732
600808.SH,2018/8/31 0:00,马钢股份,0.354,-1.466992665,黑色金属冶炼及压延加工,16.8609,9.2323,59.8307,157.3106,25.0426,0.03876904,5.247449875,2.5055,1.19180584,1.231899977,37.2983284
000513.SZ,2018/8/31 0:00,丽珠集团,0.331,-7.702630166,医药制造业,47.4086,9.6398,29.722,384.1331,8.3353,-0.28752048,5.425173283,4.0508,2.382972717,1.179399967,29.20999718
600350.SH,2018/8/31 0:00,山东高速,0.086,2.771362587,道路运输业,12.8851,47.1815,46.5191,62.9769,-24.6775,-0.14103133,5.676730156,2.7257,0.760479629,1.32190001,21.46842384
600755.SH,2018/8/31 0:00,厦门国贸,0.272,3.299856528,批发业,8.5619,-6.8718,69.6151,73.2421,46.0502,-0.18129155,5.783108234,2.7142,0.547889471,1.637699962,32.93875504
600325.SH,2018/8/31 0:00,华发股份,0.369,0,房地产业,3.1891,61.2396,84.6743,22.2869,45.8261,-0.04570616,6.129116535,4.4723,1.21026814,0.936699986,29.83457565
